country,region,year,water_source_type,contaminant_level,ph,turbidity,dissolved_oxygen,nitrate,lead,bacteria_count,water_treatment_method,clean_water_access,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp_per_capita,healthcare_access,urbanization,sanitation_coverage,rainfall,temperature,population_density,total_disease_cases,risk_level
Ethiopia,East,2021,Spring,1.21,7.51,1.23,8.78,14.53,4.61,47,Chlorination,56.77,66,5,2,59.59,1243,50.44,24.59,33.34,662,14.57,160,73,Medium
China,West,2020,Lake,1.93,6.69,3.28,9.13,16.14,3.83,175,Filtration,86.99,84,2,3,10.27,13365,77.32,60.25,95.73,1014,11.79,217,89,Medium
Mexico,South,2017,River,1.88,7.3,3.03,8.03,17.63,2.28,271,Boiling,91.91,69,3,8,20.11,11283,81.58,80.73,89.8,508,17.08,62,80,Medium
Brazil,Central,2010,Lake,1.62,7.51,0.53,7.57,12.39,3.18,51,Chlorination,84.46,36,0,3,17.27,8558,69.94,86.28,78.07,1583,21.29,22,39,Low
Indonesia,East,2007,Well,1.9,6.93,1.18,6.5,23.27,4.86,167,Chlorination,75.36,82,1,4,29.13,4240,59.26,56.18,73.98,3122,29.39,164,87,Medium
Mexico,West,2001,Tap,0.61,6.97,0.15,9.14,8.31,0.05,5,None,94.43,9,0,0,11.1,10281,76.27,77.27,93.84,744,20.12,57,9,Low
Nigeria,West,2024,Tap,1.66,6.85,0.15,7.14,13.7,5.63,43,Filtration,62.4,52,2,2,77.34,2156,38.94,57.51,47.07,1071,25.47,275,56,Low
Mexico,South,2014,Lake,0.98,7.8,0.15,7.43,5.61,0.36,42,Chlorination,97.58,23,0,3,16.08,10770,74.14,82.04,87.24,683,18.7,53,26,Low
China,North,2008,River,1.7,7.25,1.57,7.89,15.94,5.49,158,Chlorination,91.44,61,0,8,14.66,11615,81.77,67.75,91.45,933,15.07,116,69,Medium
India,East,2018,Tap,0.39,7.52,0.15,6.95,9.15,0.91,7,Chlorination,71.9,22,0,3,30.79,2840,60.68,43.01,83.97,858,26.07,353,25,Low
Bangladesh,West,2019,Lake,2.75,7.56,3.73,6.92,28.61,5.92,584,Filtration,62.96,236,7,17,43.68,2489,49.69,39.25,71.35,2407,20.19,1700,260,High
India,South,2007,Pond,2.12,6.98,2.97,6.9,17.78,2.77,318,Chlorination,89.24,107,1,11,37.16,2630,65.55,36.53,63.85,1150,26.2,409,119,Medium
China,Central,2024,Pond,2.07,6.76,1.05,8.59,21.13,4.24,166,Chlorination,93.19,54,3,4,11.04,13755,80.49,74.49,89.71,1115,11.62,181,61,Medium
Bangladesh,West,2018,River,2.8,6.21,4.27,6.08,24.29,4.17,771,Boiling,78.32,140,5,27,36.93,3126,60.93,42.59,70.36,1791,28.94,1224,172,High
Nigeria,South,2004,Lake,2.56,6.77,2.88,6.68,21.12,8.3,402,Boiling,63.4,189,6,14,74.42,2218,50.8,58.85,57.3,990,31.61,328,209,High
Indonesia,North,2010,Pond,3.87,6.85,9.68,5.87,23.05,10.13,1527,None,80.68,171,17,32,32.4,5076,66.75,61.99,84.44,1826,28.63,131,220,High
Pakistan,North,2014,River,1.94,6.97,2.19,6.87,12.82,3.0,380,Chlorination,65.38,112,5,4,71.24,1491,51.45,35.08,63.01,434,21.95,365,121,Medium
China,West,2007,Spring,0.38,7.22,0.15,8.96,9.29,2.72,3,Filtration,91.82,11,0,0,13.85,11184,76.67,58.45,99.5,1125,16.2,137,11,Low
Ethiopia,West,2018,River,3.44,7.07,5.7,6.37,17.82,9.31,697,None,55.15,245,11,33,63.6,1206,45.48,28.62,38.06,945,18.5,140,289,High
China,East,2022,Well,2.31,6.53,2.44,7.87,16.91,5.7,325,None,94.99,90,1,10,12.66,11046,76.99,65.52,83.24,836,14.52,102,101,Medium
China,South,2007,Spring,1.76,7.38,3.0,7.46,12.74,2.26,253,None,86.78,60,1,8,10.92,9619,69.48,68.91,85.77,986,12.99,222,69,Medium
Bangladesh,West,2018,Lake,2.44,7.09,2.77,6.54,27.16,6.49,1226,Chlorination,70.15,150,6,14,36.0,3096,64.95,40.16,68.56,2117,25.37,1321,170,High
USA,East,2017,Spring,2.0,7.48,0.73,9.11,13.71,4.81,64,None,99.7,48,1,1,10.4,51074,89.37,83.13,97.05,1158,12.06,32,50,Low
Mexico,East,2009,Spring,0.64,6.83,0.63,7.99,13.16,0.83,113,Filtration,91.77,24,0,3,16.3,10829,77.87,77.52,74.75,785,25.21,109,27,Low
USA,West,2006,Lake,1.96,6.5,3.05,8.7,11.73,6.96,294,Boiling,92.34,72,4,8,4.73,49876,88.19,82.31,93.66,787,8.53,44,84,Medium
Nigeria,North,2008,Lake,2.6,6.52,2.76,5.97,20.27,7.28,249,Boiling,63.76,133,4,8,74.07,2068,43.6,52.67,52.7,1058,22.87,169,145,High
Ethiopia,South,2000,Pond,3.17,6.37,3.77,7.49,20.47,10.53,477,Chlorination,49.12,152,10,16,70.16,1165,41.98,29.05,39.16,1087,19.05,165,178,High
Indonesia,South,2018,Well,1.73,7.32,0.65,7.41,23.98,5.81,90,Filtration,78.82,68,3,9,30.99,4714,52.79,55.58,74.99,3008,25.78,149,80,Medium
Brazil,North,2004,Lake,2.49,7.05,2.64,6.96,18.59,5.16,340,Filtration,85.79,79,5,6,20.11,8728,73.04,90.96,75.45,1852,23.21,43,90,Medium
Nigeria,West,2018,Tap,0.27,6.8,1.01,6.92,12.84,2.54,4,Filtration,67.97,31,0,0,71.44,2425,56.41,54.51,47.18,1244,30.21,231,31,Low
Brazil,South,2000,Tap,0.74,7.07,0.15,8.0,14.92,2.73,28,Chlorination,92.34,38,0,3,21.08,8989,70.48,82.83,85.97,2459,23.99,20,41,Low
Brazil,West,2014,Well,1.14,6.95,2.08,7.23,19.02,1.57,142,Filtration,92.2,64,0,1,12.61,9480,72.93,89.73,76.01,1986,19.64,30,65,Medium
Indonesia,West,2015,River,3.27,6.48,4.83,5.72,25.81,10.16,945,Boiling,71.59,173,4,16,34.48,4774,67.88,63.62,74.48,2426,27.66,180,193,High
India,East,2022,River,2.37,7.64,3.79,7.49,18.79,6.2,512,Filtration,74.29,103,5,17,40.37,3040,52.4,50.14,75.89,682,26.18,403,125,High
USA,North,2006,Tap,0.03,8.17,0.94,9.67,5.83,1.11,3,Filtration,89.25,25,0,3,8.14,48318,80.97,82.93,97.5,1175,16.02,32,28,Low
China,West,2011,Lake,1.73,7.67,0.6,8.31,14.04,4.39,96,Chlorination,98.11,56,1,2,15.18,12583,69.08,74.11,83.05,1299,12.86,132,59,Low
Pakistan,Central,2007,Well,2.44,7.21,2.74,7.04,15.03,5.79,242,None,64.04,134,3,10,65.24,1763,48.1,41.16,71.52,617,24.22,218,147,High
Brazil,North,2004,River,3.16,6.87,3.47,6.12,21.75,8.56,538,None,96.28,101,2,12,18.83,9559,73.12,90.35,91.52,1886,21.3,20,115,Medium
Ethiopia,South,2009,River,2.17,6.98,1.81,8.24,15.73,8.07,229,Chlorination,54.52,100,5,14,58.32,1182,38.25,23.85,44.03,986,15.26,103,119,Medium
Nigeria,East,2020,Spring,1.71,8.14,2.74,7.18,14.8,4.33,164,Chlorination,65.02,61,2,5,70.37,2639,50.26,56.02,55.77,1335,23.77,218,68,Medium
India,South,2004,Tap,0.38,7.5,0.47,8.29,15.06,3.18,3,Chlorination,72.62,33,0,2,37.16,2451,55.73,41.82,74.69,830,24.0,472,35,Low
Brazil,South,2016,Lake,2.08,7.37,1.27,6.47,18.38,3.51,494,Chlorination,90.27,68,0,3,24.81,11261,79.84,93.93,90.17,1839,20.82,22,71,Medium
India,North,2004,Well,1.6,7.37,0.15,8.65,13.02,3.44,31,Filtration,77.79,45,2,8,39.7,2595,75.02,40.03,69.69,1152,25.08,480,55,Low
India,South,2021,River,2.35,6.69,2.75,6.59,17.31,7.31,311,Filtration,77.1,109,6,13,41.29,2636,58.25,39.31,72.36,896,26.23,324,128,High
Brazil,West,2014,Spring,2.75,6.99,3.7,7.02,21.55,5.51,238,None,90.97,69,2,9,20.17,8677,67.12,93.46,79.94,1376,26.14,26,80,Medium
Bangladesh,South,2012,Tap,1.08,7.53,0.95,8.55,22.7,3.04,4,Chlorination,73.89,32,2,2,36.88,2520,55.19,39.67,69.75,2758,23.37,1494,36,Low
Mexico,East,2000,Tap,0.59,7.69,1.33,8.34,6.43,2.33,3,Chlorination,91.08,14,0,1,15.88,10726,69.01,81.71,87.27,806,19.61,66,15,Low
Ethiopia,East,2010,Well,1.18,6.91,2.14,8.12,15.88,4.02,124,Filtration,48.55,85,3,5,61.18,1181,44.89,21.52,46.89,1088,20.09,69,93,Medium
China,Central,2022,River,1.69,7.24,3.22,7.68,14.05,2.23,277,Chlorination,98.11,73,2,4,14.22,15109,78.35,64.5,93.3,958,14.97,127,79,Medium
China,East,2000,Well,1.26,6.12,0.78,8.41,12.44,0.05,8,Boiling,85.83,27,1,1,7.53,11626,78.65,61.7,91.34,1007,15.42,142,29,Low
Ethiopia,South,2010,Well,1.69,6.88,1.79,7.4,11.69,5.33,87,Filtration,56.82,87,5,2,58.88,1127,44.5,22.64,33.04,826,16.88,159,94,Medium
Bangladesh,East,2017,Pond,3.54,6.35,6.05,6.79,30.18,8.83,588,Boiling,68.28,210,11,13,43.5,3212,56.69,46.42,78.12,2905,20.56,1155,234,High
China,North,2017,Spring,0.99,7.53,0.63,8.71,10.3,0.51,28,Filtration,90.61,30,1,1,8.82,13275,78.4,68.77,86.75,858,17.24,163,32,Low
India,East,2020,Tap,0.78,6.09,0.15,9.39,12.57,3.04,3,Filtration,76.81,18,1,3,30.73,2668,55.65,41.04,76.97,1070,20.03,422,22,Low
Indonesia,West,2015,Pond,2.9,6.58,5.1,6.34,26.7,6.68,512,Filtration,75.03,126,5,16,30.34,5087,75.26,64.45,77.0,2138,24.86,146,147,High
Nigeria,North,2012,Lake,3.36,6.4,7.89,5.9,27.86,7.88,1223,None,53.98,268,17,26,82.49,2121,49.36,53.96,50.23,1203,28.95,376,311,High
USA,Central,2006,Tap,0.71,7.28,0.51,9.08,11.42,1.2,14,None,98.6,16,0,1,7.99,51573,93.32,76.37,99.5,909,13.43,35,17,Low
China,West,2000,Tap,0.49,7.09,0.15,8.87,8.99,2.9,3,Filtration,88.78,18,0,1,7.25,11804,68.39,66.39,79.62,959,14.87,103,19,Low
Ethiopia,South,2015,Spring,1.23,7.28,1.17,7.53,11.28,6.25,111,Filtration,59.06,131,3,11,61.49,1275,44.32,28.0,46.09,632,16.64,140,145,High
Indonesia,South,2000,Lake,2.27,7.38,2.55,6.4,20.67,3.28,196,Filtration,76.84,68,10,8,29.6,4962,59.04,62.17,78.14,2288,24.55,111,86,Medium
Brazil,South,2016,River,2.43,6.95,1.67,7.58,16.21,6.34,398,Filtration,89.14,76,1,4,17.17,8395,69.33,85.64,82.52,1539,25.71,25,81,Medium
Mexico,West,2005,Lake,1.17,7.08,0.49,7.95,8.58,3.35,52,Chlorination,92.59,40,3,1,15.6,10549,75.17,78.52,90.27,654,18.49,56,44,Low
Ethiopia,West,2001,River,1.93,6.75,3.6,7.76,16.88,6.12,460,Chlorination,46.94,170,7,17,62.28,1185,46.98,19.54,50.64,846,17.69,158,194,High
India,West,2016,Lake,2.09,7.24,1.79,7.55,21.35,5.1,238,Chlorination,72.78,102,1,4,38.31,2814,67.03,40.45,72.92,1447,23.14,458,107,Medium
Mexico,North,2005,Well,2.36,7.25,3.39,7.43,14.88,5.37,472,None,89.42,72,3,11,22.39,9926,69.8,86.15,90.31,531,21.12,83,86,Medium
Nigeria,North,2013,Lake,2.24,7.26,4.94,6.16,24.59,7.11,509,Boiling,63.74,227,13,18,76.63,2053,46.44,55.95,49.79,1608,26.27,207,258,High
Nigeria,South,2017,Pond,2.79,7.38,6.23,6.33,18.17,9.18,910,Filtration,59.54,245,16,17,79.42,2250,44.93,46.27,51.89,1152,26.28,160,278,High
Bangladesh,East,2005,Pond,3.94,6.98,5.52,5.55,31.82,9.27,1609,Chlorination,81.61,171,7,22,37.72,2657,57.13,38.58,72.84,2342,27.0,1361,200,High
Pakistan,South,2009,Spring,1.82,6.61,0.49,7.63,13.11,7.33,67,Chlorination,67.56,68,0,2,67.87,1626,46.52,33.55,66.12,496,21.56,277,70,Medium
Bangladesh,Central,2023,River,2.78,6.86,2.96,6.05,23.0,4.79,514,Chlorination,74.64,141,5,10,39.05,3087,68.24,38.69,67.85,1948,28.92,1094,156,High
Indonesia,North,2017,Tap,1.01,7.02,0.65,7.7,14.69,3.51,8,Filtration,76.77,28,1,2,26.88,5464,71.68,66.24,80.16,1890,26.0,100,31,Low
Mexico,West,2008,Spring,0.14,7.75,0.81,7.62,8.17,2.18,3,Filtration,83.12,17,0,0,25.75,9072,67.25,71.79,85.12,641,19.62,81,17,Low
Pakistan,North,2007,Pond,3.05,7.41,6.05,6.72,20.04,8.63,1056,Boiling,63.7,241,8,24,73.06,1647,43.09,28.29,64.29,362,24.85,413,273,High
Brazil,West,2009,Pond,4.0,6.57,9.28,5.52,23.75,9.47,1882,None,91.0,227,5,20,26.49,7926,60.0,90.97,73.35,1689,26.3,22,252,High
India,Central,2016,River,3.18,7.22,4.74,7.71,23.1,6.36,585,Boiling,76.34,141,6,18,43.39,2394,59.73,35.12,69.48,1141,23.19,349,165,High
Mexico,Central,2022,Pond,2.77,6.94,3.16,6.73,18.83,3.36,274,Filtration,94.98,58,1,3,17.99,11750,82.22,83.21,99.5,933,22.43,84,62,Medium
Bangladesh,North,2005,Pond,3.55,6.81,6.4,6.2,28.44,5.13,1456,Boiling,79.12,153,2,20,38.06,2867,52.51,46.23,65.86,2158,30.38,1372,175,High
USA,West,2013,River,2.08,6.79,1.8,9.25,14.26,4.46,80,Chlorination,92.77,61,1,2,13.95,54653,91.38,88.18,95.58,1051,9.29,33,64,Medium
Pakistan,Central,2021,Pond,3.23,6.55,4.8,6.43,20.08,8.18,538,Boiling,63.14,110,9,19,72.05,1555,49.55,36.56,72.1,617,24.52,365,138,High
Pakistan,South,2021,Tap,1.06,7.5,0.15,8.46,10.21,2.36,3,Chlorination,63.98,23,1,2,64.22,1629,49.92,43.06,70.42,506,21.1,307,26,Low
India,South,2005,Well,2.01,6.98,3.28,6.43,13.33,5.98,453,Boiling,69.46,94,2,12,41.36,2787,59.24,32.67,80.21,843,24.61,561,108,Medium
China,West,2006,Spring,1.32,7.4,0.15,8.78,12.84,0.05,34,Chlorination,96.22,19,0,2,17.51,11719,73.86,72.92,81.26,937,13.2,127,21,Low
Nigeria,North,2011,Tap,1.07,6.52,0.79,7.28,10.97,2.68,82,Boiling,59.46,52,0,2,76.04,2233,43.37,58.75,39.56,1376,28.65,179,54,Low
Nigeria,Central,2002,Tap,2.7,6.9,3.16,6.39,17.64,7.64,402,None,68.06,150,4,8,72.94,2185,45.4,58.35,53.35,1137,28.71,214,162,High
USA,North,2013,Well,1.54,7.48,0.88,9.17,9.87,2.29,75,Boiling,95.01,31,0,2,9.58,54338,89.77,77.89,96.84,751,10.01,21,33,Low
Indonesia,South,2021,Spring,1.57,7.26,1.16,7.79,18.97,2.89,82,Filtration,79.0,52,1,5,25.23,5062,54.94,60.61,75.49,2443,23.21,163,58,Low
Indonesia,Central,2018,Tap,0.49,6.54,1.17,8.05,16.57,0.51,6,Filtration,75.55,31,2,2,28.72,4615,55.58,64.36,72.72,1918,27.44,161,35,Low
Brazil,North,2022,Pond,2.35,7.15,2.21,7.6,20.69,5.64,426,Chlorination,91.53,82,5,7,17.19,10499,69.12,85.29,82.39,1668,21.57,23,94,Medium
Mexico,East,2015,Well,1.08,7.48,0.21,8.24,10.26,2.05,29,Filtration,92.43,22,1,2,22.48,10216,78.21,83.04,97.06,725,25.55,45,25,Low
Ethiopia,West,2006,Spring,0.72,7.11,0.17,7.74,13.5,3.04,86,Chlorination,41.3,63,2,3,67.07,1087,36.72,17.71,46.34,708,18.99,153,68,Medium
China,West,2007,Lake,2.26,7.14,3.48,6.61,16.34,3.88,450,None,96.97,86,7,6,11.08,13516,75.51,64.11,88.8,835,16.88,154,99,Medium
Bangladesh,East,2017,River,3.02,6.82,5.79,6.68,31.76,7.01,1225,Filtration,68.15,171,9,28,42.09,2768,62.08,42.5,74.02,2306,25.76,1313,208,High
Ethiopia,South,2024,Pond,2.49,7.58,2.45,7.0,16.85,6.69,467,Filtration,53.44,138,9,23,64.06,1242,48.02,24.32,48.33,926,18.4,96,170,High
Ethiopia,Central,2012,Well,1.39,7.89,1.66,7.51,11.12,8.12,96,Chlorination,54.86,72,0,8,61.54,1290,43.11,24.93,44.09,902,21.5,99,80,Medium
Pakistan,West,2020,River,3.6,6.29,6.93,5.43,19.74,9.8,1303,None,69.69,227,10,23,72.27,1989,57.92,34.73,70.02,451,25.58,429,260,High
USA,East,2008,Lake,2.04,7.42,2.48,8.33,14.16,3.46,329,None,99.18,89,3,7,9.02,53263,86.57,87.08,96.51,770,12.22,34,99,Medium
Nigeria,East,2009,Tap,0.92,7.72,1.61,7.79,17.19,1.95,28,Boiling,55.89,58,1,3,71.43,2325,48.07,53.2,54.21,1719,25.94,184,62,Medium
Brazil,South,2020,Tap,1.05,6.7,0.75,7.69,10.29,4.54,4,Chlorination,84.68,16,0,1,19.04,9552,69.34,95.12,91.15,1942,26.98,25,17,Low
Indonesia,South,2022,Spring,1.29,7.11,1.53,7.83,15.06,7.29,91,Chlorination,90.86,34,0,3,31.03,5702,68.73,64.67,75.05,2411,21.87,130,37,Low
USA,North,2008,Well,1.28,7.66,1.74,8.1,13.09,5.15,232,None,97.36,84,0,5,10.15,51542,87.28,87.58,93.08,853,9.52,64,89,Medium
Pakistan,West,2014,Well,1.71,7.38,1.77,8.35,15.45,3.38,61,Chlorination,66.72,46,0,7,65.8,1829,54.95,41.23,65.57,444,24.3,356,53,Low
Bangladesh,North,2019,Spring,1.26,7.34,0.57,7.07,24.98,2.58,96,Filtration,70.02,50,3,6,39.98,3030,60.2,43.07,69.46,1953,26.39,1468,59,Low
Brazil,East,2001,River,2.04,6.71,1.79,7.55,18.21,6.96,238,Filtration,94.34,100,1,4,16.46,9435,68.91,89.88,85.1,1570,27.31,24,105,Medium
Pakistan,Central,2024,Tap,0.46,7.23,0.72,8.4,14.65,1.82,3,Filtration,71.0,22,0,1,61.0,1818,49.5,38.11,69.42,504,23.6,347,23,Low
Nigeria,Central,2012,Tap,0.96,7.03,0.59,7.92,13.08,3.73,19,Chlorination,61.06,41,1,0,74.04,2184,48.37,59.98,50.66,1186,26.61,182,42,Low
Nigeria,South,2001,Well,1.45,7.36,1.96,7.92,16.59,4.64,101,Boiling,61.95,44,1,17,75.03,2093,52.78,54.24,49.28,1007,28.73,249,62,Medium
Nigeria,Central,2018,Well,2.22,7.13,0.81,7.2,18.54,5.58,126,Boiling,62.79,103,6,15,75.56,2272,44.28,50.26,48.46,895,27.79,206,124,Medium
USA,Central,2001,Spring,1.72,6.81,2.44,9.06,14.13,3.35,132,None,93.81,52,2,5,10.51,47222,84.58,85.74,91.68,726,13.74,37,59,Low
USA,Central,2002,Lake,0.13,6.79,1.83,7.88,7.97,0.43,59,Chlorination,95.2,30,1,2,7.85,50587,91.65,80.75,96.54,1085,12.83,36,33,Low
Indonesia,East,2005,River,4.12,6.06,7.2,5.31,29.14,5.93,1844,None,82.07,234,10,33,24.95,4994,62.04,61.55,76.55,2472,24.83,175,277,High
Indonesia,Central,2002,Pond,2.4,7.42,3.22,6.98,23.09,5.21,367,Chlorination,77.13,97,0,10,28.94,5038,72.99,57.84,81.48,1580,26.99,163,107,Medium
Bangladesh,Central,2009,Lake,2.68,7.45,4.18,6.07,25.0,6.48,651,Boiling,69.93,254,10,18,38.97,3042,43.32,38.12,77.7,2059,27.62,1325,282,High
Brazil,Central,2023,Lake,0.84,6.93,1.63,7.63,13.63,4.06,69,Filtration,97.14,30,0,1,16.32,10241,73.51,83.41,83.34,1685,22.82,24,31,Low
India,North,2005,Well,0.67,7.98,0.97,7.87,14.5,1.77,3,Chlorination,77.73,30,0,1,33.1,2247,59.92,31.25,71.19,1084,20.67,520,31,Low
India,East,2022,Well,2.07,7.13,2.32,8.27,16.41,5.72,114,Boiling,75.3,63,0,6,31.24,3191,57.91,43.15,70.52,1142,25.29,335,69,Medium
Pakistan,South,2015,Well,1.34,7.22,1.98,7.17,10.66,2.98,170,Boiling,74.35,75,1,4,67.94,1877,51.01,40.78,65.76,542,28.33,282,80,Medium
Nigeria,North,2016,Lake,2.62,7.44,4.52,6.29,14.59,6.27,298,Boiling,56.54,154,3,10,75.68,2314,38.59,53.94,50.29,939,29.64,403,167,High
Brazil,West,2018,River,2.33,6.83,2.13,6.42,19.26,3.51,347,Filtration,85.65,103,2,9,19.69,9019,70.35,92.0,86.73,1614,26.39,39,114,Medium
Ethiopia,East,2002,Well,1.52,7.49,1.61,8.79,16.1,6.98,59,Boiling,48.77,95,3,4,63.02,1137,34.77,24.98,44.05,915,16.89,116,102,Medium
USA,East,2017,Tap,0.05,7.13,1.18,8.53,8.17,1.67,20,None,87.82,22,2,2,6.87,55407,83.05,79.53,98.28,779,13.2,36,26,Low
Mexico,West,2006,River,2.05,6.97,4.5,6.81,14.12,4.31,365,Boiling,89.06,70,2,12,24.23,8758,65.79,78.99,88.4,673,20.28,92,84,Medium
China,West,2008,Tap,0.72,7.22,0.15,7.35,9.44,0.05,12,Boiling,93.15,20,0,3,13.56,11420,71.09,62.81,83.42,889,15.59,157,23,Low
Bangladesh,West,2019,River,2.31,6.81,3.03,6.54,22.72,2.72,356,Chlorination,74.29,82,4,6,31.55,3703,68.17,45.76,71.2,1689,22.59,1050,92,Medium
Nigeria,South,2011,Well,1.56,7.41,1.39,7.76,15.59,6.27,135,Chlorination,62.97,71,2,6,69.01,2787,56.41,57.88,54.63,1060,27.68,234,79,Medium
Nigeria,Central,2004,Pond,2.99,6.76,3.54,5.72,18.36,7.97,325,Chlorination,59.56,182,5,16,80.09,2363,43.28,56.82,48.75,1427,30.33,125,203,High
Nigeria,East,2002,Spring,2.01,7.91,3.73,7.32,17.81,6.96,176,Boiling,65.46,101,2,7,65.22,2189,45.08,61.15,48.07,1244,29.44,265,110,Medium
USA,Central,2010,Well,0.32,7.33,0.15,8.71,11.06,0.83,11,Boiling,94.31,19,0,0,12.04,47886,92.83,79.76,87.59,898,9.41,41,19,Low
USA,Central,2024,Lake,2.53,7.12,3.42,7.47,11.61,3.32,438,None,95.79,53,3,8,2.65,59192,96.57,85.28,98.67,789,8.62,36,64,Medium
China,West,2003,Pond,2.72,6.64,4.3,7.54,18.92,3.78,409,Filtration,97.62,73,2,3,13.02,11566,74.78,60.37,88.44,1065,13.73,239,78,Medium
Ethiopia,South,2004,Lake,1.63,7.06,2.9,7.02,12.29,6.8,236,Boiling,54.8,117,8,11,60.01,1213,41.99,27.15,49.35,982,18.13,118,136,High
Brazil,North,2000,River,2.9,6.68,3.56,6.41,20.74,7.2,574,Filtration,86.89,108,8,16,25.4,7367,73.16,80.39,78.29,2321,27.29,23,132,High
Nigeria,South,2017,Lake,2.3,7.36,3.85,6.12,20.87,4.63,498,Boiling,62.21,108,8,24,76.84,2186,53.63,52.7,46.63,1126,25.06,256,140,High
India,Central,2011,Pond,3.07,7.16,3.99,5.92,22.11,4.32,382,Filtration,79.01,103,1,8,41.54,2816,63.46,32.63,69.71,1525,22.71,378,112,Medium
Indonesia,South,2012,Pond,2.94,7.31,5.83,7.05,24.53,8.85,585,Chlorination,83.6,125,7,15,31.45,4290,59.04,60.84,77.75,2076,26.3,264,147,High
India,West,2008,Well,1.29,7.06,0.82,6.83,17.03,2.21,158,Boiling,78.35,68,1,5,37.06,2516,65.64,36.98,64.67,1005,26.18,381,74,Medium
Pakistan,North,2001,Tap,1.98,7.45,1.67,7.19,17.37,8.16,333,None,71.0,101,4,5,70.83,1572,56.28,41.34,66.31,499,26.06,278,110,Medium
India,West,2004,Well,1.93,7.11,2.91,6.45,19.48,6.58,218,Filtration,69.63,67,8,11,35.2,2498,53.76,31.57,71.19,1345,20.67,414,86,Medium
Pakistan,North,2012,River,1.77,7.42,3.97,6.85,14.57,4.91,134,Chlorination,75.53,95,5,14,63.67,2032,53.37,30.11,70.29,471,24.22,194,114,Medium
Mexico,Central,2015,Lake,3.25,6.77,5.95,5.48,14.28,4.41,1016,None,88.24,105,1,5,21.69,9867,84.85,82.26,89.41,545,25.47,60,111,Medium
Indonesia,North,2015,Tap,0.99,7.42,2.01,7.85,19.4,3.15,30,Chlorination,79.08,63,0,2,25.28,5353,64.46,59.25,84.4,3230,26.0,158,65,Medium
India,North,2023,Spring,1.7,7.54,0.17,8.13,15.26,2.57,117,Boiling,80.09,35,1,5,32.8,2762,54.55,40.5,66.82,1089,21.97,572,41,Low
Mexico,North,2002,Pond,3.59,7.03,6.92,6.18,18.34,7.07,968,None,87.27,195,7,14,23.17,8313,75.25,76.51,82.3,543,19.71,57,216,High
Bangladesh,South,2021,Tap,0.38,7.68,0.82,8.19,15.23,1.93,7,Filtration,71.86,31,0,3,35.77,2890,49.72,42.95,67.44,1993,25.64,1200,34,Low
Brazil,South,2003,Tap,0.96,7.28,0.15,8.3,5.48,1.55,3,Filtration,86.84,12,0,0,18.98,9442,73.26,85.59,75.13,1474,26.45,28,12,Low
Mexico,Central,2010,Well,1.97,7.78,3.15,6.83,15.38,5.06,230,None,86.49,84,0,4,21.87,10035,71.62,88.76,83.8,821,18.63,81,88,Medium
Brazil,North,2022,Spring,1.85,6.47,1.17,8.35,16.3,2.24,36,Filtration,89.37,38,0,2,18.11,10014,76.32,91.67,78.08,1735,23.55,27,40,Low
India,East,2013,Pond,3.65,6.25,4.89,6.6,21.33,9.58,711,Chlorination,72.86,158,12,12,44.96,2620,59.6,46.91,75.54,1306,25.56,519,182,High
Ethiopia,Central,2002,River,3.71,7.86,7.68,6.35,20.4,11.66,1797,None,51.57,302,20,38,61.55,1251,50.37,22.18,40.7,783,18.57,86,360,High
Mexico,North,2015,River,1.43,6.82,0.15,8.25,12.76,4.21,185,Filtration,95.81,57,1,4,20.2,9478,73.8,87.82,85.06,714,21.31,89,62,Medium
Indonesia,North,2021,Tap,0.97,7.08,0.27,7.83,20.06,3.0,9,Chlorination,79.89,30,0,1,27.44,4637,66.1,55.97,78.21,2620,24.09,147,31,Low
India,South,2014,Tap,1.26,7.05,0.15,8.18,15.72,3.15,6,Filtration,76.7,24,0,1,27.63,2775,66.02,38.08,78.55,903,26.28,608,25,Low
Nigeria,Central,2009,Lake,2.58,7.07,2.45,6.33,19.97,7.17,419,Chlorination,63.45,170,1,10,75.51,2200,42.55,55.25,48.0,1294,27.29,248,181,High
USA,North,2008,Spring,0.5,7.04,0.95,9.54,7.95,0.05,3,Boiling,99.7,12,1,2,7.84,53109,92.08,81.76,94.31,874,15.73,28,15,Low
Mexico,North,2010,Pond,2.62,6.7,3.02,7.09,17.53,4.81,257,Chlorination,83.12,69,3,5,19.48,9347,76.25,69.17,92.33,959,17.53,78,77,Medium
Indonesia,Central,2015,Tap,0.09,7.23,0.35,8.62,9.48,3.36,7,Filtration,75.79,23,0,0,24.82,4733,65.35,56.35,76.94,1566,23.53,158,23,Low
Bangladesh,East,2009,Lake,2.59,6.94,4.72,6.94,31.62,6.07,702,Chlorination,74.88,124,6,20,36.76,2757,52.44,36.3,68.63,2755,25.17,1700,150,High
Nigeria,Central,2016,Spring,1.41,7.13,1.3,7.02,15.67,4.67,138,Filtration,63.64,75,2,1,72.95,2422,56.21,52.95,53.21,1111,26.79,199,78,Medium
Bangladesh,Central,2018,Pond,4.22,6.59,7.69,5.65,32.05,10.81,1224,None,72.35,245,6,38,42.48,2809,70.77,33.54,63.9,2269,26.66,1239,289,High
